0.010000	nan	0.000000e+00
0.034995	nan	0.000000e+00
0.059990	nan	0.000000e+00
0.084985	nan	0.000000e+00
0.109980	nan	0.000000e+00
0.134975	nan	0.000000e+00
0.159970	nan	0.000000e+00
0.184965	nan	0.000000e+00
0.209960	nan	0.000000e+00
0.234955	nan	0.000000e+00
0.259950	nan	0.000000e+00
0.284945	nan	0.000000e+00
0.309940	nan	0.000000e+00
0.334935	nan	0.000000e+00
0.359930	nan	0.000000e+00
0.384925	nan	0.000000e+00
0.409920	nan	0.000000e+00
0.434915	nan	0.000000e+00
0.459910	nan	0.000000e+00
0.484905	nan	0.000000e+00
0.509900	nan	0.000000e+00
0.534895	nan	0.000000e+00
0.559890	nan	0.000000e+00
0.584885	nan	0.000000e+00
0.609880	nan	0.000000e+00
0.634875	nan	0.000000e+00
0.659870	nan	0.000000e+00
0.684865	nan	0.000000e+00
0.709860	nan	0.000000e+00
0.734855	nan	0.000000e+00
0.759850	nan	0.000000e+00
0.784845	nan	0.000000e+00
0.809840	nan	0.000000e+00
0.834835	nan	0.000000e+00
0.859830	nan	0.000000e+00
0.884825	nan	0.000000e+00
0.909820	nan	0.000000e+00
0.934815	nan	0.000000e+00
0.959810	nan	0.000000e+00
0.984805	nan	0.000000e+00
1.009800	nan	0.000000e+00
1.034795	nan	0.000000e+00
1.059790	nan	0.000000e+00
1.084785	nan	0.000000e+00
1.109780	nan	0.000000e+00
1.134775	nan	0.000000e+00
1.159770	nan	0.000000e+00
1.184765	nan	0.000000e+00
1.209760	nan	0.000000e+00
1.234755	nan	0.000000e+00
1.259750	nan	0.000000e+00
1.284745	nan	0.000000e+00
1.309740	nan	0.000000e+00
1.334735	nan	0.000000e+00
1.359730	nan	0.000000e+00
1.384725	nan	0.000000e+00
1.409720	nan	0.000000e+00
1.434715	nan	0.000000e+00
1.459710	nan	0.000000e+00
1.484705	nan	0.000000e+00
1.509700	nan	0.000000e+00
1.534695	nan	0.000000e+00
1.559690	nan	0.000000e+00
1.584685	nan	0.000000e+00
1.609680	nan	0.000000e+00
1.634675	nan	0.000000e+00
1.659670	nan	0.000000e+00
1.684665	nan	0.000000e+00
1.709660	nan	0.000000e+00
1.734655	nan	0.000000e+00
1.759650	nan	0.000000e+00
1.784645	nan	0.000000e+00
1.809640	nan	0.000000e+00
1.834635	nan	0.000000e+00
1.859630	nan	0.000000e+00
1.884625	nan	0.000000e+00
1.909620	nan	0.000000e+00
1.934615	nan	0.000000e+00
1.959610	nan	0.000000e+00
1.984605	nan	0.000000e+00
2.009600	nan	0.000000e+00
2.034595	nan	0.000000e+00
2.059590	nan	0.000000e+00
2.084585	nan	0.000000e+00
2.109580	nan	0.000000e+00
2.134575	nan	0.000000e+00
2.159570	nan	0.000000e+00
